  16     -0.1389083E-01 0.2363E-04 -0.1389400E-01 0.5907E-05 0.6637    
  17     -0.1389957E-01 0.2361E-04 -0.1389433E-01 0.5731E-05 0.6255    
  18     -0.1387962E-01 0.2363E-04 -0.1389352E-01 0.5569E-05 0.6103    
  19     -0.1389094E-01 0.2362E-04 -0.1389338E-01 0.5421E-05 0.5770    
  20     -0.1388689E-01 0.2360E-04 -0.1389306E-01 0.5283E-05 0.5504    
   
   
 Integral virtual contribrtion:  -1.3893056892723899E-002 +-   5.2830493593589142E-006
 with chisq    =  0.55042049316625274     
  
  
  
 For xq =         1300 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  3  NCALL=   47775744.
                              IT=    0  ITMX=   10
                              MDS= -1   ND=  48
   1     -0.1643495E-01 0.4584E-03 -0.1643495E-01 0.4584E-03  0.000    
   2     -0.1703600E-01 0.1335E-03 -0.1699205E-01 0.1262E-03  1.536    
   3     -0.1693599E-01 0.1110E-03 -0.1696011E-01 0.8313E-04 0.8178    
   4     -0.1701233E-01 0.1074E-03 -0.1697997E-01 0.6564E-04 0.5916    
   5     -0.1710042E-01 0.1076E-03 -0.1701335E-01 0.5597E-04 0.6730    
   6     -0.1717109E-01 0.1077E-03 -0.1704772E-01 0.4963E-04 0.8799    
   7     -0.1715481E-01 0.1077E-03 -0.1706685E-01 0.4506E-04 0.8688    
   8     -0.1725357E-01 0.1079E-03 -0.1709532E-01 0.4157E-04  1.114    
   9     -0.1698245E-01 0.1062E-03 -0.1708038E-01 0.3871E-04  1.097    
  10     -0.1722599E-01 0.1085E-03 -0.1709720E-01 0.3645E-04  1.154    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  3  NCALL=  485941248.
                              IT=    0  ITMX=   20
                              MDS= -1   ND=  48
   1     -0.1701591E-01 0.3179E-04 -0.1701591E-01 0.3179E-04  0.000    
   2     -0.1698855E-01 0.3186E-04 -0.1700228E-01 0.2250E-04 0.3695    
   3     -0.1707164E-01 0.3191E-04 -0.1702544E-01 0.1839E-04  1.766    
   4     -0.1703128E-01 0.3188E-04 -0.1702690E-01 0.1593E-04  1.186    
   5     -0.1696226E-01 0.3178E-04 -0.1701400E-01 0.1424E-04  1.714    
   6     -0.1703889E-01 0.3186E-04 -0.1701815E-01 0.1300E-04  1.472    
   7     -0.1708310E-01 0.3189E-04 -0.1702747E-01 0.1204E-04  1.821    
   8     -0.1700326E-01 0.3173E-04 -0.1702443E-01 0.1126E-04  1.634    
   9     -0.1706800E-01 0.3185E-04 -0.1702929E-01 0.1061E-04  1.638    
  10     -0.1708813E-01 0.3188E-04 -0.1703520E-01 0.1007E-04  1.798    
  11     -0.1704462E-01 0.3190E-04 -0.1703605E-01 0.9603E-05  1.626    
  12     -0.1702255E-01 0.3188E-04 -0.1703493E-01 0.9195E-05  1.493    
  13     -0.1710572E-01 0.3192E-04 -0.1704040E-01 0.8835E-05  1.749    
  14     -0.1696207E-01 0.3173E-04 -0.1703481E-01 0.8512E-05  2.047    
  15     -0.1699006E-01 0.3183E-04 -0.1703184E-01 0.8223E-05  2.033    
  16     -0.1703852E-01 0.3189E-04 -0.1703225E-01 0.7962E-05  1.900    
  17     -0.1703595E-01 0.3184E-04 -0.1703247E-01 0.7724E-05  1.782    
  18     -0.1697799E-01 0.3180E-04 -0.1702945E-01 0.7506E-05  1.840    
  19     -0.1699469E-01 0.3186E-04 -0.1702763E-01 0.7306E-05  1.800    
  20     -0.1708247E-01 0.3189E-04 -0.1703038E-01 0.7122E-05  1.854    
   
   
 Integral virtual contribrtion:  -1.7030384025650849E-002 +-   7.1217625852234145E-006
 with chisq    =   1.8535313546091312     
  
  
  
 For xq =         1600 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  3  NCALL=   47775744.
                              IT=    0  ITMX=   10
                              MDS= -1   ND=  48
   1     -0.1976578E-01 0.5113E-03 -0.1976578E-01 0.5113E-03  0.000    
   2     -0.1875478E-01 0.1501E-03 -0.1884308E-01 0.1473E-03  3.756    
   3     -0.1878013E-01 0.1293E-03 -0.1880832E-01 0.9774E-04  1.961    
   4     -0.1903629E-01 0.1271E-03 -0.1889262E-01 0.7753E-04  1.981    
   5     -0.1894609E-01 0.1253E-03 -0.1890727E-01 0.6596E-04  1.523    
   6     -0.1881580E-01 0.1243E-03 -0.1888757E-01 0.5830E-04  1.307    
   7     -0.1900336E-01 0.1255E-03 -0.1890810E-01 0.5287E-04  1.206    
   8     -0.1909451E-01 0.1255E-03 -0.1893640E-01 0.4872E-04  1.302    
   9     -0.1883945E-01 0.1254E-03 -0.1892391E-01 0.4542E-04  1.206    
  10     -0.1871623E-01 0.1242E-03 -0.1890005E-01 0.4267E-04  1.343    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  3  NCALL=  485941248.
                              IT=    0  ITMX=   20
                              MDS= -1   ND=  48
   1     -0.1890579E-01 0.3712E-04 -0.1890579E-01 0.3712E-04  0.000    
   2     -0.1888608E-01 0.3702E-04 -0.1889592E-01 0.2621E-04 0.1414    
   3     -0.1896950E-01 0.3723E-04 -0.1892043E-01 0.2143E-04  1.379    
   4     -0.1886286E-01 0.3699E-04 -0.1890602E-01 0.1854E-04  1.524    
   5     -0.1896152E-01 0.3714E-04 -0.1891715E-01 0.1659E-04  1.590    
   6     -0.1883972E-01 0.3704E-04 -0.1890430E-01 0.1514E-04  1.998    
   7     -0.1887573E-01 0.3714E-04 -0.1890024E-01 0.1402E-04  1.750    
   8     -0.1886736E-01 0.3707E-04 -0.1889614E-01 0.1311E-04  1.599    
   9     -0.1892597E-01 0.3719E-04 -0.1889944E-01 0.1237E-04  1.470    
  10     -0.1896303E-01 0.3715E-04 -0.1890583E-01 0.1173E-04  1.600    
  11     -0.1889982E-01 0.3707E-04 -0.1890528E-01 0.1119E-04  1.443    
  12     -0.1892656E-01 0.3724E-04 -0.1890705E-01 0.1071E-04  1.339    
  13     -0.1893255E-01 0.3718E-04 -0.1890901E-01 0.1030E-04  1.263    
  14     -0.1888157E-01 0.3701E-04 -0.1890704E-01 0.9919E-05  1.205    
  15     -0.1890668E-01 0.3707E-04 -0.1890702E-01 0.9582E-05  1.119    
  16     -0.1892252E-01 0.3710E-04 -0.1890799E-01 0.9278E-05  1.055    
  17     -0.1889067E-01 0.3709E-04 -0.1890697E-01 0.9000E-05  1.002    
  18     -0.1897346E-01 0.3718E-04 -0.1891068E-01 0.8748E-05  1.122    
  19     -0.1889257E-01 0.3714E-04 -0.1890973E-01 0.8515E-05  1.072    
  20     -0.1889766E-01 0.3724E-04 -0.1890913E-01 0.8300E-05  1.021    
   
   
 Integral virtual contribrtion:  -1.8909127419620728E-002 +-   8.3004448511544856E-006
 with chisq    =   1.0210592195678878     
  
  
  
 For xq =         1900 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  3  NCALL=   47775744.
                              IT=    0  ITMX=   10
                              MDS= -1   ND=  48
   1     -0.2095225E-01 0.5284E-03 -0.2095225E-01 0.5284E-03  0.000    
   2     -0.2024986E-01 0.1656E-03 -0.2031670E-01 0.1603E-03  1.653    
   3     -0.2014475E-01 0.1441E-03 -0.2022354E-01 0.1077E-03  1.155    
   4     -0.2027690E-01 0.1420E-03 -0.2024282E-01 0.8589E-04 0.8031    
   5     -0.2020704E-01 0.1400E-03 -0.2023318E-01 0.7327E-04 0.6165    
   6     -0.2024871E-01 0.1405E-03 -0.2023647E-01 0.6498E-04 0.4960    
   7     -0.2024076E-01 0.1407E-03 -0.2023722E-01 0.5901E-04 0.4141    
   8     -0.2056559E-01 0.1416E-03 -0.2028676E-01 0.5445E-04  1.020    
   9     -0.2062647E-01 0.1420E-03 -0.2033130E-01 0.5083E-04  1.525    
  10     -0.2037155E-01 0.1421E-03 -0.2033586E-01 0.4786E-04  1.364    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  3  NCALL=  485941248.
                              IT=    0  ITMX=   20
                              MDS= -1   ND=  48
   1     -0.2030086E-01 0.4262E-04 -0.2030086E-01 0.4262E-04  0.000    
   2     -0.2031154E-01 0.4248E-04 -0.2030622E-01 0.3009E-04 0.3151E-01
   3     -0.2036287E-01 0.4255E-04 -0.2032517E-01 0.2456E-04 0.6077    
   4     -0.2031126E-01 0.4241E-04 -0.2032168E-01 0.2126E-04 0.4322    
   5     -0.2034354E-01 0.4267E-04 -0.2032603E-01 0.1903E-04 0.3766    
   6     -0.2022729E-01 0.4247E-04 -0.2030966E-01 0.1736E-04  1.196    
   7     -0.2025180E-01 0.4246E-04 -0.2030141E-01 0.1607E-04  1.262    
   8     -0.2027805E-01 0.4247E-04 -0.2029849E-01 0.1503E-04  1.120    
   9     -0.2032070E-01 0.4252E-04 -0.2030096E-01 0.1417E-04  1.010    
  10     -0.2027976E-01 0.4254E-04 -0.2029885E-01 0.1345E-04 0.9226    
  11     -0.2036224E-01 0.4269E-04 -0.2030460E-01 0.1282E-04  1.032    
  12     -0.2040259E-01 0.4269E-04 -0.2031278E-01 0.1228E-04  1.380    
  13     -0.2028190E-01 0.4246E-04 -0.2031040E-01 0.1180E-04  1.306    
  14     -0.2033931E-01 0.4253E-04 -0.2031248E-01 0.1137E-04  1.238    
  15     -0.2026401E-01 0.4244E-04 -0.2030925E-01 0.1098E-04  1.237    
  16     -0.2031098E-01 0.4254E-04 -0.2030935E-01 0.1063E-04  1.154    
  17     -0.2031256E-01 0.4255E-04 -0.2030954E-01 0.1032E-04  1.082    
  18     -0.2040095E-01 0.4251E-04 -0.2031467E-01 0.1003E-04  1.277    
  19     -0.2032024E-01 0.4248E-04 -0.2031496E-01 0.9757E-05  1.207    
  20     -0.2028149E-01 0.4247E-04 -0.2031329E-01 0.9509E-05  1.175    
   
   
 Integral virtual contribrtion:  -2.0313291006204673E-002 +-   9.5094103173273562E-006
 with chisq    =   1.1746742786401383     
  
  
  
 For xq =         2200 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  3  NCALL=   47775744.
                              IT=    0  ITMX=   10
                              MDS= -1   ND=  48
   1     -0.2291149E-01 0.5712E-03 -0.2291149E-01 0.5712E-03  0.000    
   2     -0.2307577E-01 0.1908E-03 -0.2305950E-01 0.1805E-03 0.7398E-01
   3     -0.2298063E-01 0.1699E-03 -0.2301770E-01 0.1237E-03 0.8763E-01
   4     -0.2340898E-01 0.1702E-03 -0.2315612E-01 0.9989E-04  1.227    
   5     -0.2314551E-01 0.1665E-03 -0.2315330E-01 0.8565E-04 0.9202    
   6     -0.2296501E-01 0.1653E-03 -0.2311384E-01 0.7607E-04 0.9406    
   7     -0.2352406E-01 0.1671E-03 -0.2318650E-01 0.6920E-04  1.633    
   8     -0.2318157E-01 0.1673E-03 -0.2318578E-01 0.6394E-04  1.400    
   9     -0.2343954E-01 0.1682E-03 -0.2321854E-01 0.5975E-04  1.475    
  10     -0.2318864E-01 0.1671E-03 -0.2321515E-01 0.5627E-04  1.314    



 INPUT PARAMETERS FOR VEGAS:  NDIM=  3  NCALL=  485941248.
                              IT=    0  ITMX=   20
                              MDS= -1   ND=  48
   1     -0.2321417E-01 0.5083E-04 -0.2321417E-01 0.5083E-04  0.000    
   2     -0.2323393E-01 0.5059E-04 -0.2322410E-01 0.3586E-04 0.7594E-01
   3     -0.2312961E-01 0.5058E-04 -0.2319267E-01 0.2925E-04  1.196    
   4     -0.2318426E-01 0.5047E-04 -0.2319055E-01 0.2531E-04 0.8047    
   5     -0.2309972E-01 0.5045E-04 -0.2317241E-01 0.2262E-04  1.249    
   6     -0.2313060E-01 0.5045E-04 -0.2316543E-01 0.2064E-04  1.114    
   7     -0.2316086E-01 0.5055E-04 -0.2316478E-01 0.1911E-04 0.9294    
   8     -0.2318215E-01 0.5055E-04 -0.2316695E-01 0.1787E-04 0.8112    
   9     -0.2313326E-01 0.5055E-04 -0.2316322E-01 0.1685E-04 0.7593    
  10     -0.2307030E-01 0.5060E-04 -0.2315401E-01 0.1599E-04  1.011    
  11     -0.2318909E-01 0.5075E-04 -0.2315718E-01 0.1525E-04 0.9529    
  12     -0.2311837E-01 0.5051E-04 -0.2315395E-01 0.1460E-04 0.9155    
  13     -0.2314531E-01 0.5056E-04 -0.2315329E-01 0.1403E-04 0.8415    
  14     -0.2325727E-01 0.5062E-04 -0.2316076E-01 0.1352E-04  1.080    
  15     -0.2322941E-01 0.5068E-04 -0.2316535E-01 0.1306E-04  1.126    
  16     -0.2328239E-01 0.5080E-04 -0.2317267E-01 0.1265E-04  1.385    
  17     -0.2326221E-01 0.5081E-04 -0.2317794E-01 0.1227E-04  1.482    
  18     -0.2318873E-01 0.5053E-04 -0.2317854E-01 0.1193E-04  1.397    
  19     -0.2312039E-01 0.5044E-04 -0.2317547E-01 0.1161E-04  1.389    
  20     -0.2310160E-01 0.5054E-04 -0.2317180E-01 0.1131E-04  1.423    
   
   
