  16     -0.1164787E-05 0.2196E-08 -0.1166282E-05 0.5805E-09  1.376    
  17     -0.1166714E-05 0.2924E-08 -0.1166299E-05 0.5694E-09  1.292    
  18     -0.1167594E-05 0.2204E-08 -0.1166380E-05 0.5513E-09  1.235    
  19     -0.1163464E-05 0.2201E-08 -0.1166209E-05 0.5348E-09  1.258    
  20     -0.1162281E-05 0.2241E-08 -0.1165998E-05 0.5202E-09  1.344    
  21     -0.1168229E-05 0.2317E-08 -0.1166106E-05 0.5076E-09  1.321    
  22     -0.1164285E-05 0.2234E-08 -0.1166017E-05 0.4950E-09  1.288    
  23     -0.1163775E-05 0.2267E-08 -0.1165915E-05 0.4836E-09  1.272    
  24     -0.1166767E-05 0.2287E-08 -0.1165951E-05 0.4731E-09  1.222    
  25     -0.1166292E-05 0.2221E-08 -0.1165966E-05 0.4627E-09  1.172    
  26     -0.1164914E-05 0.2241E-08 -0.1165923E-05 0.4532E-09  1.134    
  27     -0.1167315E-05 0.2216E-08 -0.1165979E-05 0.4440E-09  1.105    
  28     -0.1167093E-05 0.2221E-08 -0.1166022E-05 0.4354E-09  1.073    
  29     -0.1167129E-05 0.2293E-08 -0.1166061E-05 0.4277E-09  1.042    
  30     -0.1167646E-05 0.2201E-08 -0.1166119E-05 0.4199E-09  1.024    
   
   
 Integral=  -1.1661186320781510E-006 +-   4.1987188106100944E-010
 with chisq    =   1.0236397454342314     
  
  
  
 For xq =          600 
  
 RM48 INITIALIZED:        40           0         0



 INPUT PARAMETERS FOR VEGAS:  NDIM=  6  NCALL=   48275138.
                              IT=    0  ITMX=   15
                              MDS=  1   ND=  50
   1     -0.4920287E-06 0.1496E-07 -0.4920287E-06 0.1496E-07  0.000    
   2     -0.4714904E-06 0.4669E-08 -0.4734589E-06 0.4537E-08  1.776    
   3     -0.4667525E-06 0.3692E-08 -0.4695273E-06 0.2888E-08  1.560    
   4     -0.4780091E-06 0.3385E-08 -0.4731110E-06 0.2196E-08  2.252    
   5     -0.4747599E-06 0.2982E-08 -0.4736870E-06 0.1770E-08  1.742    
   6     -0.4730928E-06 0.2978E-08 -0.4735337E-06 0.1522E-08  1.403    
   7     -0.4729909E-06 0.2947E-08 -0.4734205E-06 0.1353E-08  1.176    
   8     -0.4712425E-06 0.2831E-08 -0.4730214E-06 0.1222E-08  1.078    
   9     -0.4716528E-06 0.2813E-08 -0.4728069E-06 0.1121E-08 0.9694    
  10     -0.4743855E-06 0.2856E-08 -0.4730173E-06 0.1043E-08 0.8912    
  11     -0.4724958E-06 0.2775E-08 -0.4729532E-06 0.9768E-09 0.8058    
